customer_id,total_transactions,total_spent,avg_transaction_amount,customer_name,city,customer_type,FAILED,PENDING,SUCCESS,success_rate
C0115,23,689056.7,29958.986956521738,Anmol Kurian,Chandigarh,Premium,4,0,19,0.826
C0116,18,404488.51,22471.58388888889,Fariq Mutti,Nagercoil,Regular,1,1,16,0.889
C0117,17,420805.55,24753.267647058823,Faris Dora,Bahraich,Premium,3,0,14,0.824
C0118,21,535166.76,25484.13142857143,Aayush Prabhu,Uluberia,Regular,2,1,18,0.857
C0119,28,646638.55,23094.23392857143,Oeshi Bhattacharyya,Akola,Premium,3,0,25,0.893
C0120,14,355679.38,25405.670000000002,Naveen Taneja,Meerut,Regular,3,1,10,0.714
C0121,23,569995.73,24782.42304347826,Jonathan Aggarwal,Thanjavur,Premium,1,1,21,0.913
C0122,22,575241.23,26147.328636363636,Nicholas Borra,Etawah,Regular,3,1,18,0.818
C0123,22,555237.81,25238.082272727275,Upkaar Memon,Anand,Regular,1,0,21,0.955
C0124,17,391727.22,23042.77764705882,Hritik Ganesan,Chapra,Regular,2,0,15,0.882
C0125,19,529170.16,27851.06105263158,Ekta Kothari,Nangloi Jat,Regular,2,1,16,0.842
C0126,22,472524.27,21478.37590909091,Udarsh Mitra,Nashik,Premium,4,1,17,0.773
C0127,26,577522.03,22212.385769230772,Orinder Panchal,Shimoga,Premium,1,4,21,0.808
C0128,30,830842.49,27694.749666666667,Anay Raj,Asansol,Premium,6,0,24,0.8
C0129,20,525086.57,26254.328499999996,Kamya Kapoor,Gudivada,Premium,1,1,18,0.9
C0130,20,564571.43,28228.571500000002,Samaksh Raju,Mangalore,Regular,1,3,16,0.8
C0131,21,561425.39,26734.54238095238,Laban Venkatesh,Gopalpur,Premium,3,2,16,0.762
C0132,23,561263.62,24402.766086956522,Tanmayi Kibe,Durgapur,Regular,0,1,22,0.957
C0133,19,530859.56,27939.976842105265,Sudiksha Nagarajan,Ghaziabad,Premium,2,0,17,0.895
C0134,19,441056.59,23213.504736842107,Aayush Bahri,Jalandhar,Premium,2,1,16,0.842
C0135,18,505048.52,28058.251111111113,Maanav Ratta,Jalna,Regular,4,1,13,0.722
C0136,27,770090.79,28521.881111111114,Anamika Gupta,Kolhapur,Premium,2,1,24,0.889
C0137,16,404845.21,25302.825625,Unni Bhakta,Munger,Premium,2,0,14,0.875
C0138,18,439412.16000000003,24411.786666666667,Saumya Chaudhary,Panvel,Regular,3,1,14,0.778
C0139,17,397494.33,23382.019411764708,Ekbal Virk,Kalyan-Dombivli,Premium,1,1,15,0.882
C0140,18,496405.72,27578.095555555556,Veda Pillay,Aizawl,Regular,1,0,17,0.944
C0141,24,618429.11,25767.87958333333,Jagat Mitra,Tiruvottiyur,Regular,6,0,18,0.75
C0142,21,478739.64,22797.125714285714,Sathvik Bava,Ajmer,Regular,3,1,17,0.81
C0143,23,580997.19,25260.747391304347,Darpan Date,Hyderabad,Regular,0,1,22,0.957
C0144,17,386758.6,22750.50588235294,Upma Saha,Thane,Regular,0,0,17,1.0
C0145,18,375218.0,20845.444444444445,Sai Varkey,Phusro,Regular,2,0,16,0.889
C0146,20,568473.12,28423.656,Ojasvi Parikh,Howrah,Premium,2,1,17,0.85
C0147,20,576746.45,28837.3225,Ekani Merchant,Bhopal,Premium,3,1,16,0.8
C0148,24,444283.63,18511.817916666667,Suhani Chhabra,Mahbubnagar,Regular,1,1,22,0.917
C0149,19,399623.82,21032.83263157895,Arya Banik,Jalna,Premium,0,1,18,0.947
C0150,29,714884.21,24651.17965517241,Kritika Tata,Serampore,Regular,4,4,21,0.724
C0151,22,547225.39,24873.881363636363,Hiral Bansal,Siwan,Regular,3,1,18,0.818
C0152,14,339230.11,24230.722142857143,Nicholas Doctor,Bhiwandi,Premium,0,0,14,1.0
C0153,22,639726.45,29078.475,Ayaan Ratta,Tiruchirappalli,Premium,5,0,17,0.773
C0154,21,492259.95,23440.95,Michael Mistry,Panvel,Regular,3,2,16,0.762
C0155,23,520810.89999999997,22643.952173913043,Chameli Lanka,Jodhpur,Premium,3,0,20,0.87
C0156,24,589201.4400000001,24550.06,Robert Sagar,Kulti,Premium,3,1,20,0.833
C0157,19,407254.78,21434.46210526316,Harini Sanghvi,Arrah,Regular,2,0,17,0.895
C0158,23,690970.4,30042.191304347827,Avi Guha,Bhusawal,Premium,3,1,19,0.826
C0159,18,401915.32,22328.62888888889,Yashvi Kadakia,Kirari Suleman Nagar,Premium,1,2,15,0.833
C0160,16,441303.4,27581.4625,Unnati Tella,Chandrapur,Regular,0,0,16,1.0
C0161,17,382126.25,22478.014705882353,Krishna Goel,Sangli-Miraj & Kupwad,Premium,1,1,15,0.882
C0162,22,463129.09,21051.322272727273,Yasti Sethi,Tezpur,Regular,2,1,19,0.864
C0163,9,160251.51,17805.723333333335,Advay Agrawal,Dhule,Premium,0,0,9,1.0
C0164,21,502101.36,23909.588571428572,Wyatt Soman,Kamarhati,Regular,3,0,18,0.857
C0165,22,475358.57,21607.20772727273,Nirja Murty,Bidhannagar,Regular,0,1,21,0.955
C0166,22,557678.99,25349.045,Qadim Swaminathan,Dehri,Regular,1,0,21,0.955
C0167,20,451746.49,22587.3245,Kala Dave,Loni,Regular,2,0,18,0.9
C0168,15,385321.13,25688.075333333334,Advaith Chandran,Vijayanagaram,Regular,1,2,12,0.8
C0169,14,292030.08,20859.29142857143,Arjun Ratta,Vadodara,Premium,1,0,13,0.929
C0170,33,796462.56,24135.22909090909,Urvashi Chana,Kirari Suleman Nagar,Regular,2,1,30,0.909
C0171,17,351585.81,20681.51823529412,Anay Kapoor,Nashik,Premium,2,0,15,0.882
C0172,21,650143.32,30959.205714285712,Aarnav Rau,Chinsurah,Premium,1,0,20,0.952
C0173,22,453235.97,20601.635,Yasti Anne,Barasat,Regular,2,1,19,0.864
C0174,24,527187.84,21966.16,Peter Nayar,Patiala,Regular,1,2,21,0.875
C0175,25,570832.3099999999,22833.2924,Ekavir Barman,Faridabad,Premium,3,0,22,0.88
C0176,15,390351.13,26023.408666666666,Krisha Basak,Panvel,Regular,1,0,14,0.933
C0177,31,698645.35,22536.946774193548,Manya Samra,Satara,Regular,2,2,27,0.871
C0178,21,492774.07,23465.431904761906,Raghav Reddy,Asansol,Premium,2,2,17,0.81
C0179,17,484497.72,28499.86588235294,Qushi Gola,Kadapa,Premium,1,1,15,0.882
C0180,23,580172.26,25224.88086956522,Alka Nadkarni,Rajpur Sonarpur,Premium,3,3,17,0.739
C0181,14,368687.99,26334.856428571427,Ijaya Cheema,Proddatur,Regular,1,1,12,0.857
C0182,14,454393.38,32456.670000000002,Urvi Luthra,Jaipur,Premium,3,1,10,0.714
C0183,26,684423.33,26323.97423076923,Matthew Pal,Yamunanagar,Premium,3,2,21,0.808
C0184,18,408796.28,22710.904444444444,Samar Thaman,Ratlam,Regular,2,2,14,0.778
C0185,12,329005.29,27417.1075,Meera Yadav,Faridabad,Premium,2,0,10,0.833
C0186,20,579510.3099999999,28975.515499999998,Divya Ramesh,Bilaspur,Regular,1,2,17,0.85
C0188,23,620201.16,26965.267826086958,Devika Ranganathan,Bettiah,Regular,0,1,22,0.957
C0189,23,507092.12,22047.48347826087,Chaman Mallick,Nanded,Premium,4,1,18,0.783
C0190,14,366012.23,26143.730714285713,Fiyaz Kurian,Shimoga,Premium,1,0,13,0.929
C0191,15,400064.19,26670.946,Jai Dalal,Rewa,Regular,1,3,11,0.733
C0192,25,635717.91,25428.7164,Tanmayi Ganguly,Kumbakonam,Regular,1,2,22,0.88
C0193,20,509346.92,25467.345999999998,Riya Luthra,Guntakal,Premium,0,2,18,0.9
C0194,21,480165.16,22865.007619047617,Qadim Pal,Nandyal,Premium,2,2,17,0.81
C0195,19,476959.38,25103.125263157894,Victor Tripathi,Berhampur,Premium,0,0,19,1.0
C0196,24,579117.64,24129.90166666667,Shravya Grover,Tinsukia,Regular,2,3,19,0.792
C0197,23,565576.79,24590.295217391307,Meghana Chandran,Kolkata,Regular,3,1,19,0.826
C0198,18,532570.25,29587.23611111111,Eta Sane,Gangtok,Regular,1,2,15,0.833
C0199,13,369656.6,28435.123076923075,Bhavika Saxena,Firozabad,Premium,0,0,13,1.0
C0200,23,629752.24,27380.53217391304,Oscar Mangat,Adoni,Premium,2,2,19,0.826
C0201,24,539116.97,22463.20708333333,Forum Seth,Shimoga,Premium,2,1,21,0.875
C0202,22,453910.85,20632.311363636363,Eesha Hora,Fatehpur,Regular,3,0,19,0.864
C0203,13,305450.74,23496.21076923077,Mekhala Mandal,Mysore,Premium,2,0,11,0.846
C0204,19,418450.36,22023.703157894735,Megha Kari,Kurnool,Regular,4,1,14,0.737
C0206,21,462414.35,22019.730952380953,Amaira Mody,South Dumdum,Premium,2,0,19,0.905
C0207,23,501098.05,21786.871739130434,Kamala Deshmukh,Kakinada,Premium,5,0,18,0.783
C0208,22,568507.81,25841.264090909095,Girindra Chandran,Jammu,Premium,0,0,22,1.0
C0209,22,602118.85,27369.038636363635,Isaiah Ganesh,Cuttack,Premium,1,0,21,0.955
C0210,28,767902.6799999999,27425.09571428571,Oeshi Narain,Karawal Nagar,Regular,3,3,22,0.786
C0211,22,529825.95,24082.997727272726,Robert Gill,Rajpur Sonarpur,Premium,2,1,19,0.864
C0212,24,710428.55,29601.189583333336,Adya Nagarajan,Rajkot,Premium,1,1,22,0.917
C0213,31,818197.84,26393.47870967742,Aradhana Purohit,Singrauli,Regular,5,3,23,0.742
C0214,16,431290.4,26955.65,Indrajit Sinha,Kolkata,Premium,1,0,15,0.938
C0215,23,628576.97,27329.433478260868,Chaman Gulati,Phusro,Regular,0,2,21,0.913
C0216,17,408456.7,24026.864705882355,Oviya Dugal,Yamunanagar,Regular,0,0,17,1.0
C0217,18,445297.43,24738.74611111111,Dalaja Puri,Mahbubnagar,Premium,2,0,16,0.889
C0218,20,606222.78,30311.139000000003,Faraj Dani,Durgapur,Premium,2,1,17,0.85
C0219,17,503925.27999999997,29642.663529411762,Vinaya Sachdeva,Bokaro,Premium,2,0,15,0.882
C0220,26,676003.76,26000.144615384615,Warhi Master,Etawah,Premium,2,3,21,0.808
C0221,25,647317.27,25892.6908,Ubika Lanka,Phagwara,Regular,4,1,20,0.8
C0222,19,442017.36,23264.07157894737,Abhiram Dutt,Korba,Premium,1,1,17,0.895
C0223,18,486478.35000000003,27026.575,Mekhala Bahri,Vadodara,Regular,3,1,14,0.778
C0224,21,467787.41,22275.59095238095,Aishani Datta,Akola,Regular,2,1,18,0.857
C0225,28,630397.01,22514.17892857143,Tanish Pant,Surendranagar Dudhrej,Regular,2,1,25,0.893
C0226,15,380712.13,25380.808666666668,Charan Karnik,Mira-Bhayandar,Premium,4,0,11,0.733
C0227,31,766032.68,24710.731612903226,Mahika Karan,Tumkur,Regular,0,0,31,1.0
C0228,17,328545.49,19326.205294117648,Pahal Babu,Karawal Nagar,Regular,2,2,13,0.765
C0229,21,398405.80000000005,18971.704761904763,Urvi Krishnamurthy,Chinsurah,Premium,2,0,19,0.905
C0230,20,462066.69,23103.3345,Samesh Mistry,Akola,Premium,1,1,18,0.9
C0231,16,415271.72,25954.4825,Ayushman Dutta,Tadepalligudem,Premium,1,1,14,0.875
C0232,20,536321.38,26816.069,Ojas Chacko,Bhagalpur,Premium,1,1,18,0.9
C0233,14,334142.76,23867.34,Barkha Mahal,Patna,Premium,0,0,14,1.0
C0234,14,394627.44,28187.674285714285,Krish Doshi,Avadi,Premium,0,1,13,0.929
C0235,24,584484.27,24353.51125,Dev Lala,Bijapur,Regular,3,1,20,0.833
C0236,20,413949.65,20697.482500000002,Ojas Oommen,Hajipur,Regular,1,1,18,0.9
C0237,22,696876.11,31676.186818181817,Champak Varkey,Uluberia,Premium,5,2,15,0.682
C0238,14,420073.14,30005.22428571429,Oliver Raval,Aligarh,Premium,2,0,12,0.857
C0239,18,457196.45999999996,25399.80333333333,Darpan Deo,Begusarai,Premium,0,0,18,1.0
C0240,14,307161.58,21940.11285714286,Yashvi Tak,Kakinada,Premium,0,1,13,0.929
C0241,23,580738.19,25249.486521739127,Rohan Butala,Shimla,Premium,2,1,20,0.87
C0242,31,824704.27,26603.363548387097,Azaan Pillai,Baranagar,Premium,2,1,28,0.903
C0243,20,401124.67,20056.2335,Andrew Andra,Vijayanagaram,Premium,2,1,17,0.85
C0244,16,416862.69,26053.918125,Priya Bir,Bhimavaram,Regular,2,0,14,0.875
C0245,19,595656.26,31350.32947368421,Dhruv Mandal,Thiruvananthapuram,Premium,2,0,17,0.895
C0246,16,342443.83,21402.739375,Ayushman Mital,Mysore,Regular,1,0,15,0.938
C0247,23,524448.35,22802.10217391304,Dakshesh Ramanathan,Karawal Nagar,Regular,5,1,17,0.739
C0248,19,476271.23,25066.90684210526,Brinda Joshi,Dhanbad,Regular,3,2,14,0.737
C0249,17,490835.68,28872.68705882353,Aarush Pathak,Khora ,Regular,0,1,16,0.941
C0250,18,523362.47,29075.692777777775,Maya Sen,Ambala,Premium,2,1,15,0.833
C0251,16,370218.49,23138.655625,Andrew Upadhyay,Dhanbad,Premium,2,1,13,0.812
C0252,24,626430.73,26101.280416666665,Ojasvi Samra,Ratlam,Regular,3,2,19,0.792
C0253,11,331878.55,30170.77727272727,Irya Sodhi,Kalyan-Dombivli,Premium,1,0,10,0.909
C0254,25,755748.76,30229.9504,Hredhaan Randhawa,New Delhi,Premium,3,1,21,0.84
C0255,21,396813.46,18895.879047619048,Gopal Kashyap,Gulbarga,Regular,1,3,17,0.81
C0256,21,593812.74,28276.797142857144,Liam Dey,Vasai-Virar,Regular,0,1,20,0.952
C0257,21,531054.88,25288.32761904762,Onveer Roy,Dhanbad,Premium,1,0,20,0.952
C0258,21,388673.31,18508.252857142856,Bachittar Tailor,Guna,Premium,2,1,18,0.857
C0259,23,591995.03,25738.91434782609,Gopal Dyal,Arrah,Premium,2,1,20,0.87
C0260,27,692670.75,25654.472222222223,Saksham Chahal,Medininagar,Regular,1,0,26,0.963
C0261,20,517336.23,25866.8115,Sara Sahota,Mirzapur,Regular,1,1,18,0.9
C0262,12,271478.06,22623.171666666665,Ijaya Sarna,Firozabad,Premium,0,2,10,0.833
C0263,13,316913.4,24377.953846153847,Ucchal Brar,Kollam,Premium,1,1,11,0.846
C0264,19,525447.46,27655.12947368421,Eshana Som,Gwalior,Regular,1,1,17,0.895
C0265,19,434090.3,22846.85789473684,Vansha Batra,Tiruchirappalli,Regular,1,1,17,0.895
C0266,27,713589.59,26429.24407407407,Omisha Cheema,Srikakulam,Regular,3,2,22,0.815
C0267,15,417204.22,27813.614666666665,Jatin Pingle,Narasaraopet,Regular,1,0,14,0.933
C0268,23,524365.23,22798.488260869566,Sudiksha Sawhney,Surat,Premium,5,0,18,0.783
C0269,13,347318.22,26716.78615384615,Eiravati Kari,Kollam,Regular,1,2,10,0.769
C0270,22,462370.44,21016.83818181818,Janaki Narayanan,Hapur,Regular,2,1,19,0.864
C0271,23,506088.83999999997,22003.86260869565,Jonathan Cheema,Sasaram,Premium,1,1,21,0.913
C0272,21,475000.88,22619.089523809525,Panini Kar,Madanapalle,Regular,3,0,18,0.857
C0273,17,327434.92,19260.877647058824,Chatura Bhasin,Sri Ganganagar,Regular,2,1,14,0.824
C0274,9,251460.75,27940.083333333332,Kiaan Keer,Bhavnagar,Premium,0,0,9,1.0
C0275,31,946786.64,30541.504516129033,Watika Varkey,Tadipatri,Regular,5,0,26,0.839
C0276,19,552425.08,29075.004210526313,Deepa Dugal,Ramagundam,Premium,1,0,18,0.947
C0277,12,310321.65,25860.1375,Quincy Virk,Mysore,Premium,1,0,11,0.917
C0278,22,618099.44,28095.42909090909,Pranav Uppal,Bathinda,Regular,0,2,20,0.909
C0279,20,373735.09,18686.754500000003,Hemangini Vohra,Ludhiana,Premium,5,0,15,0.75
C0280,17,550799.97,32399.998235294115,Yochana Dhillon,Bokaro,Premium,4,1,12,0.706
C0281,20,492706.14,24635.307,Caleb Kanda,Secunderabad,Regular,2,1,17,0.85
C0282,27,697944.04,25849.77925925926,Odika Korpal,Bhavnagar,Regular,6,0,21,0.778
C0283,16,262674.63,16417.164375,Yamini Ramanathan,Korba,Regular,0,1,15,0.938
C0284,17,358145.68,21067.39294117647,Aradhana Kibe,South Dumdum,Regular,3,2,12,0.706
C0285,29,768134.17,26487.385172413793,Wakeeta Sood,Sri Ganganagar,Premium,0,3,26,0.897
C0286,22,602665.34,27393.87909090909,Varenya Chahal,Kottayam,Regular,0,2,20,0.909
C0287,14,329587.55,23541.967857142856,Anthony Dey,Anand,Regular,1,3,10,0.714
C0288,19,598470.29,31498.436315789477,Yauvani Solanki,Kolkata,Premium,1,1,17,0.895
C0289,23,584633.91,25418.865652173914,Jai Sule,Satna,Regular,1,0,22,0.957
C0290,15,361606.64,24107.109333333334,Sara Kibe,Bhagalpur,Regular,1,0,14,0.933
C0292,18,413062.39,22947.910555555558,Ekbal Dara,Raiganj,Premium,4,0,14,0.778
C0293,22,599973.47,27271.521363636362,Nilima Dhingra,Saharsa,Regular,3,2,17,0.773
